OBJECTID *;Shape *;REGN;SOATO;CATEGORY;NAMEOBJECT;NAME;Район;Name_categ;y;x;;
95;Точка;26103;7410000000;112;Бобруйск;Город областного подчинения-АТЕ;Бобруйский;г. Бобруйск;53.149708;29.218675;;Могилёвская
94;Точка;26099;7401000000;112;Могилев;Город областного подчинения-АТЕ;Могилевский;г. Могилев;53.893915;30.336512;;Могилёвская
89;Точка;25876;7258501000;113;Шклов;Город районного подчинения-АТЕ;Шкловский;г. Шклов;54.204578;30.29625;;Могилёвская
77;Точка;25773;7256501000;113;Чериков;Город районного подчинения-АТЕ;Чериковский;г. Чериков;53.570885;31.382062;;Могилёвская
90;Точка;25595;7254501000;113;Чаусы;Город районного подчинения-АТЕ;Чаусский;г. Чаусы;53.805062;30.959461;;Могилёвская
80;Точка;25496;7252551000;121;Хотимск;Поселок городского типа - городской поселок-АТЕ;Хотимский;гп Хотимск;53.40958;32.580982;;Могилёвская
83;Точка;25405;7250501000;113;Славгород;Город районного подчинения-АТЕ;Славгородский;г. Славгород;53.4419;30.999374;;Могилёвская
93;Точка;25233;7248873906;123;Татарка;Поселок городского типа - рабочий поселок-АТЕ;Осиповичский;рп Татарка;53.254852;28.817896;;Могилёвская
85;Точка;25232;7248562000;123;Елизово;Поселок городского типа - рабочий поселок-АТЕ;Осиповичский;рп Елизово;53.397742;29.006271;;Могилёвская
86;Точка;25230;7248501000;213;Осиповичи;Город районного подчинения-ТЕ;Осиповичский;г. Осиповичи;53.306914;28.635758;;Могилёвская
73;Точка;25050;7246501000;113;Мстиславль;Город районного подчинения-АТЕ;Мстиславский;г. Мстиславль;54.018603;31.727833;;Могилёвская
92;Точка;24592;7242551000;121;Круглое;Поселок городского типа - городской поселок-АТЕ;Круглянский;гп Круглое;54.248628;29.793555;;Могилёвская
88;Точка;24475;7240501000;213;Кричев;Город районного подчинения-ТЕ;Кричевский;г. Кричев;53.718188;31.710048;;Могилёвская
74;Точка;24365;7238551000;121;Краснополье ;Поселок городского типа - городской поселок-АТЕ;Краснопольский;гп Краснополье ;53.338915;31.398989;;Могилёвская
79;Точка;24214;7235501000;113;Костюковичи;Город районного подчинения-АТЕ;Костюковичский;г. Костюковичи;53.357737;32.046924;;Могилёвская
87;Точка;24064;7230501000;113;Кличев;Город районного подчинения-АТЕ;Кличевский;г. Кличев;53.491114;29.333431;;Могилёвская
82;Точка;23891;7228501000;113;Климовичи;Город районного подчинения-АТЕ;Климовичский;г. Климовичи;53.607513;31.949526;;Могилёвская
81;Точка;23753;7225501000;113;Кировск;Город районного подчинения-АТЕ;Кировский;г. Кировск;53.275005;29.470729;;Могилёвская
75;Точка;23643;7223551000;121;Дрибин;Поселок городского типа - городской поселок-АТЕ;Дрибинский;гп Дрибин;54.12027;31.101196;;Могилёвская
91;Точка;23456;7220501000;213;Горки;Город районного подчинения-ТЕ;Горецкий;г. Горки;54.27906;30.990631;;Могилёвская
84;Точка;23337;7217551000;121;Глуск;Поселок городского типа - городской поселок-АТЕ;Глусский;гп Глуск;52.898162;28.686232;;Могилёвская
76;Точка;23119;7213501000;113;Быхов;Город районного подчинения-АТЕ;Быховский;г. Быхов;53.520074;30.224298;;Могилёвская
78;Точка;22674;7204551000;121;Белыничи;Поселок городского типа - городской поселок-АТЕ;Белыничский;гп Белыничи;53.994962;29.710912;;Могилёвская
182;Точка;22667;6413000000;112;Жодино;Город областного подчинения-АТЕ;Смолевичский;г. Жодино;54.100509;28.333817;;Минская
165;Точка;22457;6258835906;121;Смиловичи;Поселок городского типа - городской поселок-АТЕ;Червенский;гп Смиловичи;53.748089;28.021303;;Минская
174;Точка;22456;6258501000;113;Червень;Город районного подчинения-АТЕ;Червенский;г. Червень;53.708521;28.425488;;Минская
